Stat	Lat	Lon     Elv
ADH	22.052	72.113	13
ADS	22.215	70.381	36
ADW	21.913	69.596	38
AMR	21.306	71.246	202
BAN	23.4	70.312	25
BAV	22.075	72.115	14
BDR	23.475	70.571	192
OBEL	23.874	70.802	36
BHD	22.28	72.168	17
BHI	23.194	70.165	44
BHU	23.554	70.801	39
BHV	21.694	71.997	68
BNR	21.107	70.281	49
BRD	23.56	70.413	41
CHA	23.277	70.45	27
CHIT	21.111	70.523	115
CHO	23.516	70.345	19
CHTV	21.106	70.52	110
DES	23.742	70.687	38
DEV	21.281	70.416	125
DHM	23.329	70.168	48
DHOR	23.435	69.753	13
DHR	24.007	72.847	198
DNR	20.31	73.135	160
DOL	23.875	70.217	27
DUD	23.32	70.126	49
DWK	22.289	69.037	44
FAT	23.69	70.839	40
GAN	23.202	72.649	96
GDD	23.867	70.373	39
GDS	23.102	69.342	140
GHU	21.024	70.496	83
JAG	21.726	73.151	18
JGI	23.222	70.567	30
JUN	21.355	70.724	132
KAD	23.287	73.854	121
KAK	23.488	70.413	84
KAV	23.922	69.766	119
KEV	21.878	73.706	55
KVJ	20.703	73.308	147
LAL	22.347	69.963	38
LKD	23.342	70.574	72
LKH	23.277	69.772	130
LOD	23.892	70.62	38
MDP	22.152	72.227	5.4
MDV	22.837	69.347	20
MGL	22.086	70.679	153
MLA	21.156	70.291	63
MNG	21.125	70.12	33
MOD	23.222	70.595	19
MOR	22.839	70.893	68
MUN	22.775	69.683	14
NAG	23.107	69.986	80
NAL	23.327	68.828	25
NKH	23.344	69.271	140
POB	21.64	69.605	19
RAD	23.82	71.617	41
RAJ	22.357	70.764	137
RUD	23.376	69.713	36
SIP	24.386	72.294	171
SIV	23.384	70.6	85
SUR	22.732	71.585	99
SUV	23.606	70.488	38
TAL	21.057	70.532	108
THB	23.342	70.574	60
UKI	21.222	73.584	20
UNA0	20.978	70.927	139
VAD	22.304	73.134	32
VAL	20.217	73.045	69
VAM	23.425	70.431	105
VDD	21.745	73.018	24
VER	21.95	69.869	90
VIGH	24.215	69.196	11
VRD	21.182	70.387	88
ZNK	22.102	72.205	5.8
SUE	23.606	70.488	38
OVAN	23.425	70.431	105
